u_niqe,u_brisque,img_mean,img_std,img_entropy,a_rx_skull.penetration_index,a_rx_skull.sinus_air_score,a_rx_abdomen.nps_fat,a_rx_abdomen.free_air_detector,a_rx_chest.lung_symmetry,a_rx_chest.inspiration_index,a_rx_chest.mediastinum_width,a_rx_chest.rotation_angle,score,deg_type,severity
5.417391163863964,45.0069580078125,0.3081154227256775,0.24425344169139862,6.517101017484976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.88405890757358,original,0.0
5.332358310122961,46.21112060546875,0.30665725469589233,0.2430732697248459,6.50311139903932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.997701872553044,rotation,0.11133106816568039
5.4718341584971055,46.75030517578125,0.279132604598999,0.24793092906475067,6.089843759898392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.51993287525452,scale,0.27502931836911926
9.648059069426328,70.09765625,0.3090614974498749,0.24663928151130676,6.512449123410489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.098089062818723,noise_salt_pepper,0.1395379285251439
4.404992256253997,23.77783203125,0.2359008938074112,0.24983328580856323,5.995966046826285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.63338495830669,original,0.0
7.032394558730692,54.1812744140625,0.23735830187797546,0.22886693477630615,6.081197122094856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0493901115456,blur_motion,0.6766994874229113
4.426880543018658,24.77044677734375,0.21879008412361145,0.23317690193653107,5.77551721109993,0.0,0.4708584553545795,0.0,0.0,0.0,0.0,0.0,0.0,48.67280169660828,vignetting,0.5453665337483498
4.263186468852441,23.23101806640625,0.2807300090789795,0.2925064265727997,5.826639813371473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.70188408690625,brightness_bright,0.4219218196852704
6.100881651149169,44.3721923828125,0.19608864188194275,0.1868072897195816,6.782859745859406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.327455659005544,original,0.0
6.886621994457919,52.6275634765625,0.20655463635921478,0.19455116987228394,6.851520861406027,0.0,0.33478513356562134,0.0,0.0,0.0,0.0,0.0,0.0,50.34137710915018,blur_gaussian,0.09369523986159245
19.566078335299302,82.99658203125,0.20108361542224884,0.1999068409204483,6.801076169307931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,noise_salt_pepper,0.5053552881033624
10.188984651131436,72.59234619140625,0.2231917679309845,0.20389975607395172,6.69893184633313,0.0,0.6101432442895857,0.0,0.0,0.0,0.0,0.0,0.0,9.62363314157924,blur_gaussian,0.561245062938613
6.835063419188213,49.04315185546875,0.25506043434143066,0.18612220883369446,6.711768776662904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.43291053874525,original,0.0
6.869811213133861,51.85870361328125,0.2676491439342499,0.1816565841436386,6.871535912101088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.20588106792667,scale,0.6498844377795232
6.576227066980586,47.850830078125,0.1509094536304474,0.1721142828464508,5.537012400511887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.377693381663065,brightness_dark,0.41951982096165874
6.222799937178674,46.3291015625,0.19144420325756073,0.21172983944416046,5.584406192842895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.94403973043915,contrast_high,0.5892656838759087
6.835063419188213,49.04315185546875,0.25506043434143066,0.18612220883369446,6.711768776662904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.43291053874525,original,0.0
6.548001162189137,45.37335205078125,0.23758654296398163,0.19342611730098724,7.007497946605918,0.3417042419522205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.574646087021726,ring_artifact,0.869300320792934
6.399631952951158,45.5689697265625,0.24700021743774414,0.19245721399784088,7.128224115452786,0.36804216832893444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.10301690701329,ring_artifact,0.8058192518328079
6.304693115052631,49.96484375,0.2461826652288437,0.18835251033306122,6.565524063765736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.06413664017569,scale,0.42261439815350255
4.5682694143976255,31.97198486328125,0.29520925879478455,0.21939963102340698,6.678761573503698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5448705706825,original,0.0
4.443159048551639,22.883056640625,0.2935772240161896,0.2190384864807129,6.650942239840962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.17699920674748,noise_speckle,0.15547949981178155
4.28637556081937,26.15313720703125,0.3036811351776123,0.2156934291124344,7.226285115607066,0.8008024940710432,0.508888888888889,0.0,0.0,0.0,0.0,0.0,0.0,57.96038112336579,ring_artifact,0.33659454511262676
6.687600768464485,39.65301513671875,0.29609763622283936,0.2011502981185913,6.733326821852863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.21890285140993,blur_motion,0.3799273006373374
5.8214553115349945,38.9720458984375,0.2829079329967499,0.2228296548128128,6.935908134977791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.19029792310003,original,0.0
